Metal_Level,Magnetic_Field,Ground_Density,Thermal_Signature,Mine_Present
0.7241785382528081,0.2974465175076856,0.22730127900701322,0.20490210118872076,0
0.5654339247072038,0.45664439878534463,0.39375930221218325,0.31119521657768623,0
0.7619221345251731,0.2622740237000116,0.4036033744088893,0.24274675961366612,0
0.9807574641020063,0.4076115411082879,0.49452606916868114,0.3294409198769497,1
0.541461656319166,0.0,0.12662832734383472,0.4028869316435385,0
0.5414657607627048,0.5639881122118816,0.5185134547694662,0.6341739869929046,1
0.9948032038768478,0.5003616426086672,0.0,0.3793450114847455,1
0.7918586822882272,0.25487341067954283,0.274023089527238,0.10116234451068962,0
0.48263140351626194,0.6977737005297215,0.30234523150969106,0.7008149262289353,1
0.7356400108964911,0.7812710412879675,0.5266653652142477,0.26584017060469134,1
0.4841455767968844,0.017732040689307782,0.4045261705353739,0.4370815060369817,0
0.48356756160743575,0.2711825664301357,0.1188873892287427,0.5482380315269566,0
0.6604905678915085,0.2692572950638106,0.20300137483659697,0.4939142920486122,0
0.1216799388355505,0.2180290696673406,0.4397360019094814,0.6907195004547246,0
0.16877054187174179,0.7488424525795245,0.38418653162708877,0.555380691546407,0
0.4594281176897568,0.44185215836815894,0.28417517807285075,0.26051189246663625,0
0.34679221991639403,0.42064554760681677,0.30383324209760415,0.9292836782781656,1
0.6785618331488185,0.0,0.5392335994318578,0.4927533619344113,0
0.3729939811196973,0.6906254090627679,0.2964614854261571,0.41758515014326864,0
0.2469240746661771,0.12822248154395827,0.3823817511941854,0.6620635930722256,0
0.9664121922303885,0.5179797890798985,0.8339873176161086,0.504879208104616,1
0.543555924878366,0.5832130813874575,0.1152634726232154,0.5378302024466519,1
0.6168820511719809,0.9081975787515952,0.029631453685068254,0.9982804796921512,1
0.24381295344663578,0.1073538802642664,0.5567179329597214,0.38947328578388973,0
0.4639043188687043,0.0,0.26427138774117936,0.38009260331617295,0
0.6277306474274665,0.5551548634261084,0.33635249445147597,0.47564727264274204,1
0.3122516056444243,1.0,0.24376872437377717,0.6857335058278285,1
0.693924504586418,0.8716839058818312,0.3480399718464975,0.11856251335811219,1
0.44984032752029873,0.5628978245823877,0.7197076224192683,0.017577703875168882,0
0.5270765625516808,0.3525091443103858,0.5604256917236239,0.3208346404635676,0
0.4495733469426507,0.7421367789911931,0.5724447023773954,0.0905369490069568,0
1.0,0.2079361400886594,0.11675458884147089,0.3565371035443595,1
0.5966256938155164,0.6429073308068658,0.16976925268942616,0.5605499331484438,1
0.3355722677610249,0.6516410477499881,0.0,0.254035250018502,0
0.8056362280257973,0.818062972249664,0.2381238357834492,0.1360981531081047,1
0.2947890875072444,1.0,0.5913406372771317,0.4652541755773766,1
0.6522158987511888,0.6177247901536301,0.5033893031496742,0.6397595666153375,1
0.11008246903005608,0.34731091228775035,0.35569734740957526,0.07710584352634525,0
0.26795348777539235,0.4923277063424017,0.3955399432563894,0.6304511276273166,0
0.6492153089672809,0.0,0.2622228914849189,0.6298073648224318,0
0.7846166449988525,0.2915860606732825,0.4409517764803569,0.6598987224744581,1
0.6428420702974926,0.3772152685660688,0.5531756558961229,0.718065647271771,1
0.5710879294029398,0.34277348061962226,0.07682264251790544,0.9344430634251155,1
0.5247240761026778,0.5457064616101166,0.4599295375674697,0.37165974930380785,0
0.23036950240814313,0.25327402028533985,0.5864869741909335,0.4741057476171288,0
0.4200389479013228,0.8363092001973413,0.3169799422073261,0.3583835446854344,1
0.4848403072600531,0.5000621194754591,0.5401401224241168,0.4504349058462784,0
0.8642805565547289,0.49720990365841566,0.9629308888945106,0.7872321382399886,1
0.6859045723921153,0.4016315850461246,0.3791314414026216,0.1540968135352529,0
0.1592399611593165,0.5465572051576937,0.47866141000106477,0.2605690721235734,0
0.6810209923486987,0.7475294794002905,0.25238858326772173,0.7529798060310036,1
0.5037294298959208,0.23986093528672991,0.4362502325204101,0.6744080315184597,0
0.4307694999235103,0.302565053277423,0.4920543249964608,0.37011103770024284,0
0.7529190722102169,0.4088821913670006,0.4389684680540276,0.6379684402465584,1
0.8577498806239877,0.09623872295803554,0.19606093605822866,0.5250674853482473,0
0.8328200297790496,0.25422264208355067,0.44127235426509015,0.7800604139802174,1
0.3901956191943403,0.3571337379366023,0.6924391877435274,0.46639211064189,0
0.5226969060371963,0.7623167542138183,0.48972715290290547,0.6756390650519681,1
0.6828158578508909,0.5787683987005775,0.5923974378143683,1.0,1
0.8438862817805898,0.5580769734102633,0.3525976059974745,0.5815818141104425,1
0.4802064405386775,0.7552693886503916,0.5499800478847421,0.4608521964748656,1
0.5535852558340457,0.458788463480181,0.4558535676433052,0.6089383367486154,1
0.3234162564984929,0.6171394549786668,0.2098178540625536,0.36963821119514534,0
0.3009483439798323,0.46903347412025115,0.46370420095977494,0.9753528952154411,1
0.8031314555985495,0.5796087048198886,0.2016606673119379,0.48961562829311595,1
0.9390600071427058,0.32517240271652537,0.2734239450230416,0.38995466955038716,1
0.5819974696049165,0.0,0.43786566145847483,0.26614841889559204,0
0.850883224473006,0.45971625134410876,0.4594488546760248,0.6913884421534164,1
0.6904090062619085,0.9268244408299819,0.1621535069845742,0.6407812308221026,1
0.4387200613487189,0.7778646206724777,0.6107971542365753,0.3405820382888995,1
0.6903489013771035,0.7896192453773512,0.5144012556600946,0.576819295926933,1
0.9845091416164923,0.8708392165418654,0.2590543128778232,0.1181176869931716,1
